[2026-02-20 13:03:42,832][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/gemma-3-1b-it/resolve/main/config.json "HTTP/1.1 200 OK"
[2026-02-20 13:03:43,244][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/gemma-3-1b-it/resolve/main/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-02-20 13:03:43,648][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/google/gemma-3-1b-it/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-02-20 13:03:43,957][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/google/gemma-3-1b-it/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-02-20 13:03:45,617][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/databricks/databricks-dolly-15k/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-02-20 13:03:45,627][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/databricks/databricks-dolly-15k/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/README.md "HTTP/1.1 200 OK"
[2026-02-20 13:03:45,924][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/databricks/databricks-dolly-15k/resolve/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/databricks-dolly-15k.py "HTTP/1.1 404 Not Found"
[2026-02-20 13:03:46,824][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/databricks/databricks-dolly-15k/databricks/databricks-dolly-15k.py "HTTP/1.1 404 Not Found"
[2026-02-20 13:03:47,144][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/databricks/databricks-dolly-15k/revision/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a "HTTP/1.1 200 OK"
[2026-02-20 13:03:47,453][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/databricks/databricks-dolly-15k/resolve/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-02-20 13:03:47,950][httpx][INFO] - HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=databricks/databricks-dolly-15k "HTTP/1.1 200 OK"
[2026-02-20 13:03:48,248][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/databricks/databricks-dolly-15k/tree/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/data?recursive=true&expand=false "HTTP/1.1 404 Not Found"
[2026-02-20 13:03:48,547][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/databricks/databricks-dolly-15k/tree/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-02-20 13:03:48,971][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/databricks/databricks-dolly-15k/resolve/bdd27f4d94b9c1f951818a7da7fd7aeea5dbff1a/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-02-20 13:03:51,491][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/google/gemma-3-1b-it/resolve/main/config.json "HTTP/1.1 200 OK"
